login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
midudev,midudev/marked,2018-06-13T08:50:26Z,3,3,JavaScript,True,False,other
midudev,midudev/meanio,2020-07-13T14:28:17Z,2,2,JavaScript,True,True,mit
midudev,midudev/menea.dev,2021-03-05T19:27:29Z,37,37,JavaScript,True,True,
midudev,midudev/midu-chatgpt-clone,2023-02-14T19:04:35Z,125,125,JavaScript,True,True,
midudev,midudev/midu-cohere-hackathon,2023-01-24T18:54:44Z,81,81,JavaScript,True,True,
midudev,midudev/midu-commerce,2021-06-15T16:36:57Z,11,11,TypeScript,True,True,mit
midudev,midudev/midu-excel,2022-10-20T20:03:33Z,47,47,JavaScript,True,True,
midudev,midudev/midu-timeszones-latam,2022-08-31T20:14:02Z,237,237,JavaScript,True,True,
midudev,midudev/midu-translate-gemini,2024-05-10T11:19:11Z,53,53,TypeScript,True,True,
ai,ai/about-postcss,2014-09-02T08:57:10Z,29,29,Ruby,True,True,
ai,ai/ai,2021-06-03T20:20:57Z,6,6,,True,True,
ai,ai/anim2012,2012-09-12T22:42:15Z,8,8,Ruby,True,False,gpl-3.0
ai,ai/asdf-cache-action,2022-09-07T17:29:16Z,16,16,,False,False,
ai,ai/audio-recorder-polyfill,2017-11-25T14:53:51Z,584,584,JavaScript,False,False,mit
ai,ai/autohide-battery,2013-02-03T13:37:11Z,31,31,JavaScript,False,False,mit
ai,ai/autoprefixer-cli,2015-08-31T17:04:26Z,14,14,JavaScript,True,True,mit
ai,ai/autoprefixer-core,2014-08-18T11:29:17Z,136,136,JavaScript,True,True,
ai,ai/autoprefixer-rails,2013-04-04T22:01:13Z,1215,1215,Ruby,True,False,mit
ai,ai/better-node-test,2023-09-27T19:26:52Z,26,26,JavaScript,False,False,mit
ai,ai/boilerplates,2021-11-17T22:44:52Z,11,11,JavaScript,False,False,
ai,ai/caniuse,2022-08-17T00:31:54Z,1,1,,True,True,cc-by-4.0
ai,ai/check-dts,2020-02-08T01:40:07Z,141,141,JavaScript,False,False,mit
ai,ai/ci-job-number,2017-07-04T13:48:23Z,14,14,JavaScript,False,False,mit
ai,ai/cli,2024-05-16T17:16:03Z,1,1,,True,True,mit
ai,ai/color.js,2022-02-19T16:13:07Z,0,0,,True,True,mit
ai,ai/compass.js,2012-11-10T08:06:49Z,113,113,CoffeeScript,True,False,mit
ai,ai/convert-layout,2015-11-06T09:29:23Z,251,251,JavaScript,False,False,mit
ai,ai/d2na,2008-12-17T00:05:49Z,11,11,Ruby,True,False,
ai,ai/darian,2012-05-16T11:21:56Z,25,25,Ruby,True,True,mit
ai,ai/dis.spbstu.ru,2011-07-01T20:00:02Z,5,5,Ruby,True,True,agpl-3.0
ai,ai/dual-publish,2020-02-15T20:14:15Z,187,187,JavaScript,False,False,mit
ai,ai/easings.net,2012-03-22T10:27:18Z,8035,8035,CSS,False,False,gpl-3.0
ai,ai/environment,2009-07-03T16:05:47Z,206,206,Shell,True,False,mit
ai,ai/eslint-plugin-escompat,2024-09-25T20:21:36Z,0,0,,True,True,mit
ai,ai/eslint-plugin-node-import,2023-09-07T09:24:36Z,0,0,,True,False,isc
ai,ai/evil-blocks,2013-04-29T18:40:26Z,131,131,JavaScript,True,True,mit
ai,ai/evil-front,2013-01-25T13:13:27Z,101,101,Ruby,True,True,
ai,ai/evolu-lang,2010-08-11T23:29:43Z,22,22,JavaScript,True,False,lgpl-3.0
ai,ai/evolu-steam,2011-02-01T17:34:46Z,5,5,JavaScript,True,False,lgpl-3.0
ai,ai/file-container,2014-08-24T18:45:38Z,14,14,JavaScript,True,True,mit
ai,ai/fotoramajs,2013-07-15T10:26:45Z,44,44,Ruby,True,True,other
ai,ai/gulp-bench-summary,2014-11-13T12:18:22Z,8,8,JavaScript,True,True,mit
ai,ai/hide-keyboard-layout,2020-04-04T10:35:32Z,18,18,JavaScript,True,True,mit
ai,ai/insomnis,2011-10-27T04:36:31Z,4,4,,True,True,
ai,ai/jest-ci,2020-02-15T19:23:17Z,5,5,JavaScript,True,True,mit
ai,ai/jquery-cdn,2013-08-24T15:52:29Z,59,59,Ruby,True,True,other
ai,ai/jstransformer-lowlight,2019-12-08T13:23:14Z,5,5,JavaScript,True,True,mit
ai,ai/keyux,2024-02-12T12:00:43Z,433,433,TypeScript,False,False,mit
ai,ai/load-resources,2015-05-11T17:49:01Z,16,16,JavaScript,True,False,mit
ai,ai/localfirstnews,2024-08-22T16:47:34Z,4,4,,True,False,
ai,ai/martian-logux-demo,2021-10-05T12:58:46Z,17,17,TypeScript,False,False,
ai,ai/nanocolors,2021-09-21T02:32:09Z,868,868,JavaScript,False,True,mit
ai,ai/nanodelay,2017-10-21T20:07:33Z,193,193,JavaScript,False,False,mit
ai,ai/nanoevents,2016-09-20T05:47:44Z,1482,1482,TypeScript,False,False,mit
ai,ai/nanoid,2017-08-05T05:24:35Z,24580,24580,JavaScript,False,False,mit
ai,ai/nanospy,2021-11-20T21:48:24Z,138,138,TypeScript,False,False,mit
ai,ai/node-netmask,2024-02-15T23:15:33Z,1,1,,True,True,mit
ai,ai/offscreen-canvas,2019-03-26T17:47:44Z,335,335,JavaScript,False,False,mit
ai,ai/on_the_islands,2011-02-06T12:41:52Z,2,2,Ruby,True,True,
ai,ai/pages.js,2012-04-24T10:23:35Z,44,44,CoffeeScript,True,False,lgpl-3.0
ai,ai/parcel-css,2022-04-11T18:15:32Z,1,1,,True,True,mpl-2.0
ai,ai/plague,2011-10-27T04:31:48Z,4,4,Ruby,True,True,
ai,ai/plain_record,2009-05-18T20:19:26Z,24,24,Ruby,True,False,lgpl-3.0
ai,ai/pnpm,2023-12-23T18:45:30Z,2,2,,True,False,mit
ai,ai/postcss-html,2023-12-29T16:31:53Z,2,2,,True,False,mit
ai,ai/postcss-isolation,2015-11-27T13:42:42Z,14,14,,True,True,
ai,ai/postcss-way,2015-09-10T20:56:51Z,9,9,,True,True,
ai,ai/print-snapshots,2020-02-09T18:42:40Z,15,15,JavaScript,False,False,mit
ai,ai/pull-request-auto-reviewer,2024-05-23T14:49:51Z,3,3,,True,True,
ai,ai/rails-sass-images,2013-04-14T14:04:37Z,114,114,Ruby,False,False,mit
ai,ai/rake-completion,2009-11-25T11:49:00Z,64,64,Shell,True,True,lgpl-3.0
ai,ai/rit3d,2012-03-27T19:46:52Z,6,6,CSS,True,False,gpl-3.0
ai,ai/ruby2jar,2009-07-16T10:53:37Z,3,3,Ruby,True,False,gpl-3.0
ai,ai/showbox,2015-09-08T18:26:45Z,11,11,JavaScript,True,True,mit
ai,ai/showbox-ai,2015-09-12T15:46:47Z,3,3,CSS,True,True,mit
ai,ai/showbox-bright,2015-09-09T18:44:23Z,3,3,JavaScript,True,True,mit
ai,ai/showbox-shower,2015-09-09T19:09:06Z,2,2,JavaScript,True,True,mit
ai,ai/sitnik.ru,2009-02-26T17:44:31Z,58,58,JavaScript,False,False,mit
ai,ai/size-limit,2017-06-25T05:18:40Z,6553,6553,JavaScript,False,False,mit
ai,ai/source-map-js,2024-03-18T17:29:24Z,2,2,,True,True,other
ai,ai/ssdeploy,2019-12-30T19:25:18Z,194,194,JavaScript,False,False,mit
ai,ai/storybook,2023-12-03T08:25:41Z,3,3,,True,False,mit
ai,ai/susedko,2022-05-23T12:16:57Z,14,14,JavaScript,False,False,mit
ai,ai/test-repo,2024-05-10T15:18:14Z,0,0,,True,True,
ai,ai/transition-events,2012-09-05T12:04:06Z,133,133,JavaScript,True,False,lgpl-3.0
ai,ai/twitter2vk,2009-10-09T18:52:04Z,16,16,Ruby,True,False,gpl-3.0
ai,ai/universal-layout,2024-04-19T20:26:57Z,8,8,,False,False,mit
ai,ai/uvu,2023-09-06T13:17:56Z,0,0,,True,False,mit
ai,ai/vas3k.club,2024-03-12T08:38:40Z,1,1,,True,False,mit
ai,ai/visibilityjs,2011-06-19T12:58:26Z,1825,1825,JavaScript,True,False,mit
ai,ai/web-standards.ru,2023-03-08T11:27:59Z,0,0,,True,False,
ai,ai/webp-in-css,2019-03-12T18:57:35Z,346,346,JavaScript,False,False,mit
ai,ai/wsd2013,2013-10-18T08:50:39Z,4,4,Ruby,True,True,gpl-3.0
ai,ai/yaspeller-ci,2017-03-03T11:36:27Z,61,61,JavaScript,False,False,mit
raysan5,raysan5/challenges,2017-02-23T16:32:32Z,165,165,C,False,False,other
raysan5,raysan5/FileDetectionRuleSets,2024-03-29T08:57:03Z,2,2,PHP,True,False,mit
raysan5,raysan5/game_project_template,2020-02-09T12:36:22Z,19,19,C++,False,False,mit
raysan5,raysan5/mic,2021-09-25T22:13:57Z,23,23,C,False,False,mit
raysan5,raysan5/mod,2019-12-04T19:42:22Z,47,47,,False,False,mit
raysan5,raysan5/physac,2022-06-06T08:51:00Z,24,24,C,False,False,
raysan5,raysan5/raudio,2019-01-19T15:23:09Z,172,172,C,False,False,zlib
raysan5,raysan5/raygui,2016-06-15T18:33:19Z,3522,3522,C,False,False,zlib
raysan5,raysan5/raylib,2013-10-24T15:46:04Z,22434,22434,C,False,True,zlib
raysan5,raysan5/raylib-code-club,2022-08-31T19:15:21Z,28,28,C,False,False,zlib
raysan5,raysan5/raylib-game-template,2021-06-30T16:44:07Z,406,406,C,False,False,zlib
raysan5,raysan5/raylib-gamejam-template,2022-11-29T17:27:12Z,51,51,Makefile,False,False,zlib
raysan5,raysan5/raylib-games,2020-04-10T18:47:08Z,560,560,C,True,True,zlib
raysan5,raysan5/raylib-intro-course,2022-11-13T17:43:34Z,194,194,C,False,False,other
raysan5,raysan5/raylib-lua,2017-02-05T01:59:21Z,123,123,C,False,False,other
raysan5,raysan5/raylib.com,2017-07-24T17:39:55Z,70,70,C,False,False,zlib
raysan5,raysan5/raylib_project_creator,2024-09-26T11:25:24Z,160,160,C,False,False,zlib
raysan5,raysan5/raysan5,2024-04-20T10:11:55Z,9,9,,True,True,
raysan5,raysan5/rfxgen,2017-03-04T12:35:46Z,428,428,C,False,False,zlib
raysan5,raysan5/rguiicons,2019-09-01T09:56:12Z,49,49,C,False,False,zlib
raysan5,raysan5/rguilayout,2018-08-17T18:03:04Z,97,97,C,False,False,zlib
raysan5,raysan5/rguistyler,2018-08-17T17:53:28Z,52,52,C,False,False,zlib
raysan5,raysan5/riconpacker,2018-09-28T15:49:10Z,46,46,C,False,False,zlib
raysan5,raysan5/rini,2023-05-18T13:56:27Z,61,61,C,False,False,zlib
raysan5,raysan5/rpng,2020-05-27T10:06:23Z,171,171,C,False,False,zlib
raysan5,raysan5/rres,2017-12-08T18:23:57Z,393,393,C,False,False,mit
vfarcic,vfarcic/1-koncrete-demo,2021-08-26T00:34:06Z,0,0,SCSS,True,True,
vfarcic,vfarcic/acorn-demo,2023-10-29T20:02:01Z,0,0,Go,True,True,
vfarcic,vfarcic/adpon,2019-04-30T09:54:00Z,0,0,Smarty,True,True,
vfarcic,vfarcic/aiven-demo,2023-08-25T12:10:14Z,1,1,,True,True,
vfarcic,vfarcic/angular-web-ui-sample,2014-10-01T18:10:53Z,0,0,JavaScript,True,True,
vfarcic,vfarcic/ansible-blue-green,2015-01-11T11:54:39Z,3,3,Python,True,True,
vfarcic,vfarcic/ansible-workshop,2015-11-01T16:21:21Z,3,3,CSS,True,True,
vfarcic,vfarcic/apono-demo,2023-08-21T23:33:35Z,0,0,,True,True,
vfarcic,vfarcic/argo,2021-02-04T15:16:55Z,1,1,Go,True,True,apache-2.0
vfarcic,vfarcic/argo-cd,2021-10-25T15:24:55Z,1,1,Go,True,True,apache-2.0
vfarcic,vfarcic/argo-cd-image-updater,2021-10-12T19:50:09Z,5,5,SCSS,True,True,
vfarcic,vfarcic/argo-combined-app,2021-02-02T08:52:24Z,37,37,SCSS,True,True,apache-2.0
vfarcic,vfarcic/argo-combined-demo,2021-01-25T19:46:56Z,103,103,,True,True,apache-2.0
vfarcic,vfarcic/argo-events,2021-01-28T15:15:53Z,1,1,Go,True,True,apache-2.0
vfarcic,vfarcic/argo-events-demo,2021-01-20T19:23:01Z,2,2,,True,True,
vfarcic,vfarcic/argo-events-gh-demo,2024-06-04T21:48:12Z,2,2,Go,True,True,
vfarcic,vfarcic/argo-rollouts,2020-11-03T11:34:51Z,2,2,Go,True,False,apache-2.0
vfarcic,vfarcic/argo-rollouts-demo,2024-04-21T02:08:13Z,0,0,Nushell,True,True,
vfarcic,vfarcic/argo-site,2021-10-19T20:57:43Z,0,0,JavaScript,True,True,mit
vfarcic,vfarcic/argo-workflows-catalog,2021-01-04T12:18:58Z,1,1,Go,True,False,
vfarcic,vfarcic/argo-workflows-demo,2020-12-29T03:03:21Z,25,25,SCSS,True,True,
vfarcic,vfarcic/argo-workflows-vs-tekton-demo,2021-05-24T16:55:45Z,5,5,SCSS,True,True,
vfarcic,vfarcic/argocd-image-updater-demo,2021-03-30T10:42:23Z,1,1,,True,True,
vfarcic,vfarcic/argocd-pipeline,2020-10-07T17:57:57Z,0,0,Dockerfile,True,True,
vfarcic,vfarcic/argocd-previews,2020-10-05T14:29:34Z,19,19,,True,True,
vfarcic,vfarcic/argocd-production,2020-09-23T14:32:08Z,33,33,,True,True,
vfarcic,vfarcic/argocd-staging,2020-11-03T14:08:16Z,1,1,,True,True,
vfarcic,vfarcic/argocd-sync-waves-demo,2023-07-22T00:04:25Z,1,1,,True,True,
vfarcic,vfarcic/atlas-demo,2022-11-23T17:27:28Z,0,0,HCL,True,True,
vfarcic,vfarcic/atlas-kubernetes-demo,2023-07-07T23:41:48Z,0,0,,True,True,
vfarcic,vfarcic/atlas-testing-demo,2024-07-14T22:17:14Z,0,0,HCL,True,True,
vfarcic,vfarcic/autoscaling-demo,2022-04-15T00:39:02Z,0,0,,True,True,
vfarcic,vfarcic/awesome-datree,2022-02-21T15:09:37Z,0,0,,True,True,mit
vfarcic,vfarcic/aws-app-runner-demo,2021-06-12T13:46:58Z,0,0,SCSS,True,True,
vfarcic,vfarcic/aws-lambda-js,2019-07-20T15:51:07Z,0,0,Makefile,True,True,
vfarcic,vfarcic/azure-container-apps-demo,2021-11-07T22:27:08Z,2,2,,True,True,
vfarcic,vfarcic/backstage-demo,2024-09-02T07:05:15Z,0,0,TypeScript,True,True,
vfarcic,vfarcic/base-container-images-demo,2023-06-23T12:49:46Z,0,0,Go,True,True,
vfarcic,vfarcic/blue-green-docker-jenkins,2015-12-03T22:33:52Z,22,22,CSS,True,True,
vfarcic,vfarcic/books-fe,2015-03-15T19:53:32Z,0,0,JavaScript,True,True,
vfarcic,vfarcic/books-fe-polymer,2015-07-16T15:31:17Z,4,4,HTML,True,True,
vfarcic,vfarcic/books-ms,2015-08-19T18:12:55Z,145,145,HTML,True,True,
vfarcic,vfarcic/books-service,2015-01-17T21:14:00Z,65,65,HTML,True,True,
vfarcic,vfarcic/books-stress,2015-02-14T20:20:04Z,0,0,ApacheConf,True,True,apache-2.0
vfarcic,vfarcic/buildpacks-demo,2022-03-24T22:53:22Z,1,1,SCSS,True,True,
vfarcic,vfarcic/capsule-demo,2021-06-18T11:19:15Z,0,0,Shell,True,True,
vfarcic,vfarcic/cartographer-demo,2022-05-07T22:00:59Z,0,0,Go,True,True,
vfarcic,vfarcic/carvel-demo,2022-02-06T18:32:23Z,0,0,SCSS,True,True,
vfarcic,vfarcic/cast-demo,2022-02-14T01:07:12Z,0,0,,True,True,
vfarcic,vfarcic/cd-workshop,2015-01-27T18:43:20Z,1,1,Python,True,True,
vfarcic,vfarcic/cdk8s-demo,2022-10-06T18:16:12Z,1,1,Go,True,True,
vfarcic,vfarcic/cert-manager-demo,2022-11-18T01:59:33Z,1,1,,True,True,
vfarcic,vfarcic/cf-terraform-aks,2020-09-09T12:56:58Z,1,1,HCL,True,True,
vfarcic,vfarcic/cf-terraform-eks,2020-09-07T21:03:10Z,4,4,HCL,True,True,
vfarcic,vfarcic/cf-terraform-gke,2020-08-20T22:31:03Z,4,4,HCL,True,True,
vfarcic,vfarcic/chaostoolkit,2020-01-08T20:16:44Z,0,0,,True,False,apache-2.0
vfarcic,vfarcic/chaostoolkit-container-image,2020-01-08T20:21:52Z,0,0,Dockerfile,True,True,
vfarcic,vfarcic/charts,2018-06-19T01:06:27Z,0,0,Smarty,True,True,apache-2.0
vfarcic,vfarcic/chat,2015-06-05T21:17:25Z,0,0,Go,True,True,
vfarcic,vfarcic/cilium-demo,2022-12-29T02:50:28Z,0,0,Mustache,True,True,
vfarcic,vfarcic/clis-demo,2024-06-15T19:33:34Z,0,0,CUE,True,True,
vfarcic,vfarcic/cloud-custodian-demo,2022-12-26T03:29:56Z,1,1,,True,True,
vfarcic,vfarcic/cloud-native-pg-demo,2023-04-30T13:57:18Z,1,1,,True,True,
vfarcic,vfarcic/cloud-provisioning,2016-05-01T18:52:57Z,89,89,Shell,True,True,
vfarcic,vfarcic/clusterpedia-demo,2024-04-11T00:25:06Z,0,0,Shell,True,True,
vfarcic,vfarcic/cncf-demo,2022-11-11T19:47:35Z,197,197,Go,True,True,
vfarcic,vfarcic/cnoe-demo,2024-07-28T15:09:58Z,0,0,,True,True,
vfarcic,vfarcic/code-zero-demo,2021-09-16T01:14:43Z,0,0,,True,True,
vfarcic,vfarcic/code-zero-demo2,2021-09-16T01:16:37Z,0,0,Go,True,True,
vfarcic,vfarcic/codecov,2019-06-10T08:22:47Z,2,2,Dockerfile,True,True,
vfarcic,vfarcic/codefresh-cli-examples,2020-09-23T16:58:13Z,1,1,Shell,True,True,
vfarcic,vfarcic/codespaces-demo,2022-05-26T20:38:46Z,0,0,Go,True,True,mit
vfarcic,vfarcic/codespaces-gitpod-okteto-demo,2022-07-04T11:52:24Z,1,1,Go,True,True,
vfarcic,vfarcic/coherence-demo,2023-03-30T18:44:19Z,0,0,Go,True,True,
vfarcic,vfarcic/combine-infra-services-apps,2021-03-14T22:18:07Z,9,9,,True,True,
vfarcic,vfarcic/container-image-aws-helm-kubectl,2020-09-10T18:07:37Z,0,0,Dockerfile,True,True,
vfarcic,vfarcic/container-image-az-helm-kubectl,2020-09-10T19:21:58Z,1,1,Dockerfile,True,True,
vfarcic,vfarcic/container-image-gke-helm-kubectl,2020-09-10T15:21:30Z,1,1,Dockerfile,True,True,
vfarcic,vfarcic/container-ssh-demo,2023-12-13T18:08:23Z,0,0,,True,True,
vfarcic,vfarcic/continuous-deployment,2014-12-07T22:30:01Z,11,11,Shell,True,True,
vfarcic,vfarcic/contour-demo,2022-12-27T02:15:56Z,1,1,,True,True,
vfarcic,vfarcic/copilot-container-image,2020-12-11T16:44:13Z,0,0,Dockerfile,True,True,
vfarcic,vfarcic/copilot-demo,2020-12-02T14:23:52Z,0,0,SCSS,True,True,
vfarcic,vfarcic/cortex-demo,2024-08-11T22:56:32Z,0,0,,True,True,
vfarcic,vfarcic/couchbase-demo,2020-12-17T01:16:55Z,1,1,,True,True,
vfarcic,vfarcic/crossplane,2022-05-15T10:46:29Z,0,0,,True,False,apache-2.0
vfarcic,vfarcic/crossplane-app,2023-05-07T19:48:03Z,4,4,Shell,True,True,
vfarcic,vfarcic/crossplane-chicken-demo,2021-07-20T22:16:05Z,0,0,,True,True,
vfarcic,vfarcic/crossplane-composite-demo,2021-07-01T00:22:40Z,13,13,,True,True,
vfarcic,vfarcic/crossplane-db-schemas-demo,2024-01-27T17:59:23Z,0,0,Shell,True,True,
vfarcic,vfarcic/crossplane-demo,2021-02-09T16:27:31Z,4,4,,True,True,
vfarcic,vfarcic/crossplane-drift-detection-demo,2021-08-23T20:12:17Z,0,0,,True,True,
